wbc_category,wbc_year_win,medal,wbc_name,wbc_brewery,wbctoratebeer_name_brewery
american imperial stout,2008,gold,Gonzo Imperial Porter,Flying Dog Brewery,Flying Dog Gonzo Imperial Porter
american imperial stout,2008,silver,Happy Ending,Sweetwater Brewing Co.,Sweetwater Happy Ending Imperial Stout
american imperial stout,2008,bronze,Night Rider Imperial Stout,Pizza Port Carlsbad,Pizza Port Night Rider
american ipa,2008,gold,IPA,Odell Brewing Co.,Odell India Pale Ale &#40;IPA&#41;
american ipa,2008,silver,Union Jack IPA,Firestone Walker Brewing Co.,Firestone Walker Union Jack IPA
american ipa,2008,bronze,India Pelican Ale,Pelican Pub & Brewery,Pelican India Pelican Ale
american sour,2008,silver,Eric's Ale,New Belgium Brewing Co.,New Belgium Lips of Faith - Eric’s Ale
american sour,2008,bronze,Le Terroir,New Belgium Brewing Co.,New Belgium Lips of Faith - Le Terroir
american stout,2008,silver,Total Eclipse Stout,Foothills Brewing,Foothills Total Eclipse Stout
american stout,2008,bronze,Sticky Stout,Pizza Port - Carlsbad,Pizza Port Sticky Stout
belgian sour,2008,gold,Oude Geuze Boon,Brouwerij Boon,Boon Oude Geuze
belgian sour,2008,silver,Oude Geuze Oud Beersel,Oud Beersel,Oud Beersel Oude Geuze
british imperial stout,2008,gold,Brooklyn Black Chocolate Stout,Brooklyn Brewery,Brooklyn Black Chocolate Stout
british imperial stout,2008,silver,High Desert Imperial Stout,Great American Restaurants,High Desert Imperial Stout
british imperial stout,2008,bronze,Blackout Stout,Great Lakes Brewing Co.,Great Lakes Blackout Stout
dubbel,2008,gold,Allagash Dubbel,Allagash Brewing Co.,Allagash Dubbel Reserve
dubbel,2008,silver,Emmett's Belgian-style Dubbel,Emmett's Ale House/ Emmett's Tavern & Brewing Co.,Emmetts Belgian Dubbel
esb,2008,gold,Standing Wave Pale Ale,Kannah Creek Brewing Co.,Kannah Creek Standing Wave Pale Ale
esb,2008,silver,The Wise ESB,Elysian Brewing Co.,Elysian The Wise ESB
esb,2008,bronze,Stone Pale Ale,Stone Brewing Co.,Stone Pale Ale
imperial ipa,2008,gold,Hopnotic IPA,San Diego Brewing Co.,San Diego Hopnotic IPA
imperial ipa,2008,silver,Poor Man's IPA,Pizza Port - Carlsbad,Pizza Port Poormans IPA
imperial ipa,2008,bronze,Dread Naught,Three Floyds Brewing Co.,Three Floyds Dreadnaught Imperial IPA
american imperial stout,2010,gold,Seven Imperial Stout Niepoort Barrel,Nørrebro Bryghus,Nørrebro SEVEN Imperial Stout &#40;Niepoort Barrel&#41;
american imperial stout,2010,silver,Sexual Chocolate Imperial Stout,Foothills Brewing,Foothills Sexual Chocolate Imperial Stout
american imperial stout,2010,bronze,Imperial Stout,Founders Brewing Co.,Founders Imperial Stout
american ipa,2010,gold,Norm’s Raggedy-Ass IPA,Big Rock Chop House & Brewery,Big Rock Chop House Norms Raggedy Ass Ale
american ipa,2010,silver,Centennial IPA,Founders Brewing Co.,Founders Centennial IPA
american ipa,2010,bronze,Duet,Alpine Beer Co.,Alpine Beer Company Duet
american sour,2010,gold,Raspberry Torte,Iron Hill Brewery & Restaurant #1,Iron Hill Raspberry Torte
american sour,2010,silver,Viking Oud Bruin,Nørrebro Bryghus,Nørrebro Viking Oud Bruin
american sour,2010,bronze,Wild Ale #4,Sante Fe Brewing Co.,Santa Fe Wild Ale #4 &#40;Zotte Berten Series&#41;
american stout,2010,gold,Black Magic Stout,Oggi’s Pizza & Brewing Co.,Oggis Black Magic Stout
american stout,2010,silver,Sticky Stout,Pizza Port - Carlsbad,Pizza Port Sticky Stout
